종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"060310","3S","KOSDAQ","중견기업부","1970","-10","-0.51","1981","1990","1960","167568","330348960","100636744740","51084642"
"095570","AJ네트웍스","KOSPI",,"4845","30","0.62","4800","4845","4765","94750","455687675","219249617355","45252759"
"006840","AK홀딩스","KOSPI",,"10980","-20","-0.18","11290","11290","10670","5590","61277600","145458219780","13247561"
"054620","APS","KOSDAQ","중견기업부","5880","70","1.20","5760","5980","5720","12441","72355740","116978019480","19894221"
"265520","AP시스템","KOSDAQ","우량기업부","16170","70","0.43","16140","16330","16010","65209","1055014180","247100577570","15281421"
"211270","AP위성","KOSDAQ","벤처기업부","12630","-240","-1.86","12950","13000","12560","112099","1426553710","190489499520","15082304"
"109960","AP헬스케어","KOSDAQ","중견기업부","604","-36","-5.63","640","640","552","3014759","1799463910","121276718476","200789269"
"139050","BF랩스","KOSDAQ","관리종목(소속부없음)","2805","0","0.00","0","0","0","0","0","24247965555","8644551"
"027410","BGF","KOSPI",,"3615","10","0.28","3590","3620","3570","33187","119681010","346016199465","95716791"
"282330","BGF리테일","KOSPI",,"108200","5000","4.84","102900","109100","102800","114009","12180366200","1870118629200","17283906"
"126600","BGF에코머티리얼즈","KOSDAQ","우량기업부","2720","-65","-2.33","2780","2820","2700","40216","109633425","170725965280","62766899"
"138930","BNK금융지주","KOSPI",,"10740","-330","-2.98","11080","11140","10650","2458112","26591731270","3441490447980","320436727"
"001460","BYC","KOSPI",,"29550","400","1.37","29200","29600","29150","2603","76391450","184573732500","6246150"
"001465","BYC우","KOSPI",,"12970","110","0.86","13040","13040","12890","12489","161981320","27935434500","2153850"
"013720","CBI","KOSDAQ","중견기업부","878","-34","-3.73","917","917","873","150858","133145463","39183503408","44628136"
"083790","CG인바이츠","KOSDAQ","벤처기업부","2530","10","0.40","2515","2535","2470","84063","210865640","194542280460","76894182"
"001040","CJ","KOSPI",,"110900","6900","6.63","104300","113100","104200","337299","37166392300","3235729078200","29176998"
"079160","CJ CGV","KOSPI",,"5470","30","0.55","5510","5540","5410","200651","1099744850","905723004780","165580074"
"035760","CJ ENM","KOSDAQ GLOBAL","중견기업부","60000","-1200","-1.96","61700","62300","59800","71472","4333422200","1315749240000","21929154"
"311690","CJ 바이오사이언스","KOSDAQ","기술성장기업부","11000","-210","-1.87","11210","11210","10800","61974","677341730","100237522000","9112502"
"00104K","CJ4우(전환)","KOSPI",,"84400","3200","3.94","81000","85500","80800","42309","3580873800","356717612800","4226512"
"000120","CJ대한통운","KOSPI",,"82600","-1400","-1.67","84000","84300","82600","43705","3634431300","1884299614400","22812344"
"011150","CJ씨푸드","KOSPI",,"3265","170","5.49","3095","3330","3020","2038004","6568254175","117313973845","35930773"
"011155","CJ씨푸드1우","KOSPI",,"23650","5420","29.73","19500","23650","19500","17848","409166950","4730000000","200000"
"001045","CJ우","KOSPI",,"58900","1100","1.90","58000","58900","57800","4094","239773400","133127134700","2260223"
"097950","CJ제일제당","KOSPI",,"266500","-3500","-1.30","271000","271000","266500","35686","9571725500","4011940569000","15054186"
"097955","CJ제일제당 우","KOSPI",,"129300","-700","-0.54","130500","130500","129300","1162","150552800","171637086900","1327433"
"051500","CJ프레시웨이","KOSDAQ","우량기업부","18500","0","0.00","18450","18800","18130","26797","490394120","219624341000","11871586"
"058820","CMG제약","KOSDAQ","우량기업부","1896","11","0.58","1889","1909","1870","272252","515131069","263339694624","138892244"
"023460","CNH","KOSDAQ","관리종목(소속부없음)","109","0","0.00","0","0","0","0","0","4054800000","37200000"
"056730","CNT85","KOSDAQ","중견기업부","703","2","0.29","705","707","700","17427","12255573","52100163758","74111186"
"000480","CR홀딩스","KOSPI",,"5870","-40","-0.68","5980","5980","5830","6137","35996060","275247176300","46890490"
"065770","CS","KOSDAQ","벤처기업부","1704","-66","-3.73","1730","1779","1582","1462410","2454869472","33076565520","19411130"
"083660","CSA 코스믹","KOSDAQ","중견기업부","1050","-1","-0.10","1048","1060","1010","22780","23665849","64309540050","61247181"
"000590","CS홀딩스","KOSPI",,"68900","-1000","-1.43","69800","69900","68700","2524","174995400","79543809800","1154482"
"012030","DB","KOSPI",,"1438","0","0.00","1443","1460","1425","317866","456147283","289288115654","201173933"
"456440","DB금융스팩11호","KOSDAQ","SPAC(소속부없음)","2275","0","0.00","0","0","0","0","0","12091625000","5315000"
"477760","DB금융스팩12호","KOSDAQ","SPAC(소속부없음)","2050","0","0.00","2035","2050","2030","1799","3677195","11972000000","5840000"
"016610","DB금융투자","KOSPI",,"5320","-80","-1.48","5360","5460","5290","79790","426792250","225814789480","42446389"
"005830","DB손해보험","KOSPI",,"103200","200","0.19","101600","104000","101300","161506","16664927200","7306560000000","70800000"
"000990","DB하이텍","KOSPI",,"35200","1150","3.38","34700","35300","33950","366833","12742082200","1562830297600","44398588"
"139130","DGB금융지주","KOSPI",,"8370","-360","-4.12","8760","8800","8340","1560400","13192082530","1415750622210","169145833"
"099520","DGI","KOSDAQ","관리종목(소속부없음)","1284","0","0.00","0","0","0","0","0","58141862016","45281824"
"060900","DGP","KOSDAQ","중견기업부","1060","-3","-0.28","1078","1078","1036","27715","29288187","26773722740","25258229"
"290120","DH오토리드","KOSDAQ","우량기업부","2260","-35","-1.53","2310","2400","2245","23987","55361345","35064211880","15515138"
"025440","DH오토웨어","KOSDAQ","중견기업부","835","-9","-1.07","838","853","827","120052","99815867","25702322040","30781224"
"001530","DI동일","KOSPI",,"50800","200","0.40","50600","51300","50400","145654","7411326900","1088812757600","21433322"
"000210","DL","KOSPI",,"32950","-50","-0.15","33400","33450","32750","26007","860241950","690496377800","20955884"
"000215","DL우","KOSPI",,"20000","-650","-3.15","20300","20650","19900","10940","219601810","33722300000","1686115"
"375500","DL이앤씨","KOSPI",,"32500","300","0.93","32250","32600","32050","104936","3391933250","1257542747500","38693623"
"37550L","DL이앤씨2우(전환)","KOSPI",,"21000","-50","-0.24","21250","21400","20900","5234","110224700","44350971000","2111951"
"37550K","DL이앤씨우","KOSPI",,"16140","-60","-0.37","16200","16200","16140","1258","20330090","34118103900","2113885"
"068790","DMS","KOSDAQ","우량기업부","6080","80","1.33","5960","6130","5940","163267","988908650","149404210880","24573061"
